POIs,LATITUDE,LONGITUDE,image_path,INFO,PRIORITY_1,PRIORITY_2,Combined_Priorities
AMBER PALACE,26.9854865,75.8513454,./static/images/hotel_images/AMBER PALACE.jpg,"Amer Fort, located near Jaipur, Rajasthan, is a splendid hilltop fortress known for its impressive architecture, including Sheesh Mahal (Hall of Mirrors), Diwan-i-Khas, and stunning courtyards. The fort's historical significance and intricate design make it a must-visit",History and Culture,Museum,History and Culture Museum
CITY PALACE JAIPUR,26.9257713,75.8236581,./static/images/hotel_images/CITY PALACE JAIPUR.jpg,"Situated in the heart of Jaipur, the City Palace is a grand royal residence that beautifully combines Rajput and Mughal architectural styles. The complex includes the Chandra Mahal and Mubarak Mahal, which house museums and a remarkable collection of artifacts.",History and Culture,Museum,History and Culture Museum
JANTAR MANTAR JAIPUR,26.924762,75.82456,./static/images/hotel_images/JANTAR MANTAR JAIPUR.jpg,"The Jantar Mantar in Jaipur is an 18th-century astronomical observatory and a UNESCO World Heritage site. Its unique, large-scale astronomical instruments provide an exceptional insight into India's scientific heritage.",History and Culture,Museum,History and Culture Museum
HAWA MAHAL,26.9239363,75.8267438,./static/images/hotel_images/HAWA MAHAL.jpg,"The Hawa Mahal, also known as the ""Palace of Winds,"" is an iconic pink sandstone structure in Jaipur. Its intricate honeycomb-like facade with 953 small windows was designed for royal women to observe the city's activities while maintaining their privacy.",History and Culture,-,History and Culture -
ALBERT HALL MUSEUM (CENTRAL MUSEUM),26.9115755,75.8194875,./static/images/hotel_images/ALBERT HALL MUSEUM (CENTRAL MUSEUM).jpg,"The Albert Hall Museum, situated in Jaipur, is the oldest museum in Rajasthan. It features a diverse collection of artifacts, including paintings, sculptures, decorative arts, and more, providing a comprehensive glimpse into India's cultural and historical heritage.",Museum,History and Culture,Museum History and Culture
NAHARGARH FORT,26.9373127,75.8155259,./static/images/hotel_images/NAHARGARH FORT.jpg,"Nahargarh Fort, a historic fort overlooking Jaipur, was built in 1734. It served as a defense fort and offers stunning panoramic views of the Pink City. The fort features impressive architecture, including beautiful frescoes, making it a popular spot for history enthusiasts and nature lovers.",Museum,History and Culture,Museum History and Culture
BIRLA TEMPLE JAIPUR,26.8921959,75.8153921,./static/images/hotel_images/BIRLA TEMPLE JAIPUR.jpg,"The Birla Temple, also known as the Laxmi Narayan Temple, is a magnificent white marble temple dedicated to Lord Vishnu and Goddess Lakshmi. It stands out for its intricate carvings and a peaceful ambiance, providing a serene place for spiritual reflection.",Religious,Local Experiences,Religious Local Experiences
JAL MAHAL,26.9534682,75.846138,./static/images/hotel_images/JAL MAHAL.jpg,"Jal Mahal, the ""Water Palace,"" is an architectural gem in the middle of Man Sagar Lake. Its unique charm comes from its partially submerged position, blending Rajput and Mughal architectural styles. While you can't enter the palace, taking a boat ride on the lake offers an unforgettable view.and historical artifacts, making it a fantastic place to explore Rajasthan's rich cultural heritage.",History and Culture,Scenic,History and Culture Scenic
KING EDWARD MEMORIAL,26.9167445,75.817966,./static/images/hotel_images/KING EDWARD MEMORIAL.jpg,"The King Edward Memorial, or the Albert Hall Museum, is a prime example of Indo-Saracenic architecture in Jaipur. It houses a diverse collection of art and historical artifacts, making it a fantastic place to explore Rajasthan's rich cultural heritage.",History and Culture,Museum,History and Culture Museum
SISODIA RANI PALACE AND GARDEN,26.8994218,75.8587309,./static/images/hotel_images/SISODIA RANI PALACE AND GARDEN.jpg,"The Sisodia Rani Palace and Garden, built in 1728, is a charming palace and garden complex in Jaipur. The palace is adorned with exquisite murals depicting the love story of Radha and Krishna. The beautifully landscaped gardens provide a serene and picturesque retreat within the city.",Scenic,History and Culture,Scenic History and Culture
VIDYADHAR GARDEN,26.8997912,75.853619,./static/images/hotel_images/VIDYADHAR GARDEN.jpg,"Vidyadhar Garden, located in Jaipur, is a meticulously designed Mughal-style garden. It was built in memory of Vidyadhar Bhattacharya, a chief architect of Jaipur. The garden features ornate pavilions, fountains, and lush greenery, offering a peaceful and picturesque environment for visitors.",Scenic,-,Scenic -
CENTRAL PARK JAIPUR INDIA,26.9047845,75.8072858,./static/images/hotel_images/CENTRAL PARK JAIPUR INDIA.jpg,"Central Park is a popular urban park in the heart of Jaipur. It features a striking statue of Maharaja Sawai Jai Singh II on horseback, and it's a favorite spot for locals and tourists to relax, exercise, and enjoy leisurely walks in a beautifully landscaped setting.",Scenic,-,Scenic -
ANOKHI MUSEUM OF HAND PRINTING,26.99271,75.850776,./static/images/hotel_images/ANOKHI MUSEUM OF HAND PRINTING.jpg,"The Anokhi Museum of Hand Printing, situated in Jaipur, celebrates the traditional art of block printing in Rajasthan. It offers a fascinating look at the history, techniques, and vibrant patterns of this age-old craft through a collection of textiles and exhibits.",Museum,History and Culture,Museum History and Culture
GOVIND DEVJI TEMPLE,26.9288341,75.8240701,./static/images/hotel_images/GOVIND DEVJI TEMPLE.jpg,"The Govind Devji Temple is a significant Hindu temple located in the City Palace complex in Jaipur. Dedicated to Lord Krishna, it is a place of devotion and offers a serene spiritual experience, especially during the aarti (worship) ceremonies.",Religious,Local Experiences,Religious Local Experiences
MOTI DOONGRI GANESH TEMPLE,26.8946451,75.8166882,./static/images/hotel_images/MOTI DOONGRI GANESH TEMPLE.jpg,"The Moti Doongri Ganesh Temple is a famous temple in Jaipur dedicated to Lord Ganesha. It is situated on a hill and is known for its architectural beauty, making it a serene place for worship and offering panoramic views of the city.",Religious,Local Experiences,Religious Local Experiences
DIGAMBER JAIN MANDIR JAIPUR,26.86817685,75.7912471,./static/images/hotel_images/DIGAMBER JAIN MANDIR JAIPUR.jpg,"The Digamber Jain Mandir in Jaipur is a significant religious site for the Jain community. It is known for its intricately carved marble architecture and serene atmosphere, making it a place of devotion and architectural admiration.",Religious,Local Experiences,Religious Local Experiences
GALTAJI,26.91571775,75.86317065,./static/images/hotel_images/GALTAJI.jpg,"Galta Ji, also known as the Monkey Temple, is a unique and ancient Hindu pilgrimage site in Jaipur. It's a complex of temples and natural springs, and it's inhabited by a large population of monkeys. The architecture and the natural surroundings make it a tranquil place to visit.",Religious,History and Culture,Religious History and Culture
STATUE CIRCLE,26.9080142,75.8057119,./static/images/hotel_images/STATUE CIRCLE.jpg,"Statue Circle is a prominent landmark in Jaipur, featuring a statue of Maharaja Sawai Jai Singh II on horseback. It's a bustling roundabout and a popular place for evening walks, offering a glimpse of Jaipur's history and modern city life.",Scenic,-,Scenic -
RAM NIWAS GARDEN,26.9127378,75.82018015,./static/images/hotel_images/RAM NIWAS GARDEN.jpg,"Ram Niwas Garden, located in the heart of Jaipur, is a lush and well-maintained garden. It houses the Albert Hall Museum, a bird park, and numerous walking paths. It's an ideal spot for relaxation and leisurely strolls in the midst of nature.",Scenic,History and Culture,Scenic History and Culture
ZOOLOGICAL GARDEN JAIPUR,26.9132898,75.8195542,./static/images/hotel_images/ZOOLOGICAL GARDEN JAIPUR.jpg,"The Zoological Garden in Jaipur is a well-maintained and spacious zoo, home to a variety of animals from different species. It offers an educational and enjoyable experience for visitors, especially families and wildlife enthusiasts.",Scenic,Adventure,Scenic Adventure
KANAK VRINDAVAN,26.9636218,75.8486341,./static/images/hotel_images/KANAK VRINDAVAN.jpg,"Kanak Vrindavan is a historic garden in Jaipur, Rajasthan, known for its beautiful landscaping, fountains, and elegant architecture. The garden surrounds the Kanak Vrindavan Temple and offers stunning views of the Amber Fort and the city..",Scenic,Adventure,Scenic Adventure
AMAR JAWAN JYOTI JAIPUR,26.8956966,75.7999191,./static/images/hotel_images/AMAR JAWAN JYOTI JAIPUR.jpg,"Amar Jawan Jyoti is a war memorial in Jaipur, dedicated to the soldiers who made the ultimate sacrifice for their nation. The memorial features a perpetually burning flame, a symbol of remembrance and respect for the martyrs.",History and Culture,Local Experiences,History and Culture Local Experiences
MAHARANI KI CHHATRI JAIPUR,26.9447632,75.8407634,./static/images/hotel_images/MAHARANI KI CHHATRI JAIPUR.jpg,"Maharani ki Chhatri, also known as the Queen's Cenotaph, is an architectural marvel in Jaipur. It is a memorial dedicated to the queens of the ruling family. The cenotaphs are adorned with intricate carvings and stand as a testimony to the city's rich heritage.",History and Culture,-,History and Culture -
NAHARGARH BIOLOGICAL PARK,27.0160575,75.8644631,./static/images/hotel_images/NAHARGARH BIOLOGICAL PARK.jpg,"Nahargarh Biological Park, adjacent to Nahargarh Fort in Jaipur, is a conservation area that offers an opportunity to see a variety of animals, including tigers, leopards, and numerous bird species. It's a blend of nature, wildlife, and history.",Scenic,Adventure,Scenic Adventure
JAWAHAR KALA KENDRA,26.8763612,75.8091692,./static/images/hotel_images/JAWAHAR KALA KENDRA.jpg,"Jawahar Kala Kendra is an art and cultural center in Jaipur, designed by the renowned architect Charles Correa. It hosts exhibitions, performances, and cultural events, making it a hub for the arts and an architectural delight.",Shows and Concerts,Local Experiences,Shows and Concerts Local Experiences
RAJ MANDIR,26.9154985,75.8101639,./static/images/hotel_images/RAJ MANDIR.jpg,"Raj Mandir is a famous movie theater in Jaipur, known for its striking architecture and the grandeur of the cinema-going experience. It's often referred to as the ""Pride of Asia"" and is a popular destination for locals and tourists to watch Bollywood films.",Shows and Concerts,-,Shows and Concerts -
SAMBHAR LAKE,26.9466181,75.0620935,./static/images/hotel_images/SAMBHAR LAKE.jpg,"Sambhar Lake is the largest saline lake in India, located near Jaipur. It's a vital site for salt production and is also a significant bird sanctuary, attracting various migratory birds. The surreal, vast expanse of the lake creates a unique and serene environment.",Scenic,Adventure,Scenic Adventure
AKSHARDHAM TEMPLE JAIPUR,26.9022189,75.7406225,./static/images/hotel_images/AKSHARDHAM TEMPLE JAIPUR.jpg,"Akshardham Temple in Jaipur is a stunning Hindu temple complex known for its intricate marble carvings and spiritual ambiance. It's dedicated to Lord Swaminarayan and is a place for prayer, meditation, and reflection.",Religious,Local Experiences,Religious Local Experiences
JAGAT SHIROMANI TEMPLE,26.9890594,75.8512714,./static/images/hotel_images/JAGAT SHIROMANI TEMPLE.jpg," Jagat Shiromani Temple, situated in Amer near Jaipur, is an ancient Hindu temple dedicated to Lord Krishna. It boasts intricate architecture and carvings, making it a fascinating historical and spiritual site.",Religious,History and Culture,Religious History and Culture
JAWAHAR CIRCLE,26.8398509,75.8009313,./static/images/hotel_images/JAWAHAR CIRCLE.jpg,"Jawahar Circle is a prominent circular park in Jaipur, known for its well-maintained gardens, musical fountains, and a uniquely designed pillar. It's a favorite spot for locals and tourists to relax, unwind, and enjoy the evening.",Scenic,-,Scenic -
MUSEUM OF GEM AND JEWELLERY,26.9164807,75.8192959,./static/images/hotel_images/MUSEUM OF GEM AND JEWELLERY.jpg,"The Museum of Gem and Jewellery in Jaipur is dedicated to the rich tradition of jewelry craftsmanship in the city. It showcases exquisite gems, jewelry, and artifacts, providing insights into the artistry and history of jewelry-making in Jaipur.",Museum,-,Museum -
JHALANA SAFARI PARK IN JAIPUR,26.86166605,75.8132777,./static/images/hotel_images/JHALANA SAFARI PARK IN JAIPUR.jpg,"Jhalana Safari Park is a wildlife sanctuary located in the heart of Jaipur. It's known for leopard sightings and offers thrilling safaris, making it a unique experience for wildlife enthusiasts and nature lovers.",Adventure,Scenic,Adventure Scenic
MASALA CHOWK,26.910342,75.8201748,./static/images/hotel_images/MASALA CHOWK.jpg,"Masala Chowk is a vibrant food court in Jaipur, offering a wide array of local street food and regional delicacies. It's a culinary paradise where you can savor the flavors of Rajasthan in a lively and open-air environment.",Shopping,Food and Drinks,Shopping Food and Drinks
AMRAPALI MUSEUM,26.9151972,75.8014071,./static/images/hotel_images/AMRAPALI MUSEUM.jpg,The Amrapali Museum showcases a stunning collection of traditional and contemporary Indian jewelry and artifacts. It's an excellent place to explore the beauty of Indian craftsmanship and jewelry design.,Museum,-,Museum -
MUSEUM OF LEGACIES JAIPUR INDIA,26.9209589,75.8177006,./static/images/hotel_images/MUSEUM OF LEGACIES JAIPUR INDIA.jpg,"The Museum of Legacies in Jaipur is dedicated to preserving and showcasing the cultural heritage and legacies of Rajasthan. It features a diverse collection of artifacts, photographs, and exhibits that provide a deeper understanding of the region's traditions and history.",Museum,-,Museum -
CHOKHI DHANI,26.752976,75.8368015,./static/images/hotel_images/CHOKHI DHANI.jpg,"Chokhi Dhani is a renowned ethnic village resort located near Jaipur. It offers visitors a chance to experience the rich culture and traditions of Rajasthan. Guests can enjoy traditional Rajasthani food, folk music and dance performances, camel rides, and more in a village-like setting.",Local Experiences,Scenic,Local Experiences Scenic
ELEFANTASTIC ELEPHANT FARM,27.00046815,75.88039665,./static/images/hotel_images/ELEFANTASTIC ELEPHANT FARM.jpg,"Elefantastic Elephant Farm is a unique and ethical elephant sanctuary near Jaipur. Visitors have the opportunity to interact with and learn about elephants, feed and bathe them, and gain insight into elephant conservation efforts.",Adventure,Scenic,Adventure Scenic
PANNA MEENA KI BAOLI,26.9911051,75.8512294,./static/images/hotel_images/PANNA MEENA KI BAOLI.jpg,"Panna Meena Ki Baoli is a historic stepwell in Jaipur, known for its intricate architecture and symmetrical design. It was not only a source of water but also a place for social gatherings and relaxation.",Scenic,History and Culture,Scenic History and Culture
JOHARI BAZAAR,26.92003475,75.827127,./static/images/hotel_images/JOHARI BAZAAR.jpg," Johari Bazaar is one of the most popular and vibrant markets in Jaipur. It's renowned for its jewelry shops, where you can find a stunning array of precious and semi-precious gemstones, along with traditional Rajasthani jewelry.",Food and Drinks,Shopping,Food and Drinks Shopping
