Name,Location,category,Cuisine_offered,cost_for_two,is_vegeterian,is_bar_available,offers_dining,avg_din_rate
1117,Jagatpura,Casual Dining ,"North Indian, Fast Food",500,no,no,yes,3.4
Feb-20,Mansarovar,Quick Bites ,Fast Food,300,yes,no,yes,3.4
#Jaipur Darbar,Pratap Nagar,Quick Bites ,"North Indian, Mughlai, Chinese, Fast Food",500,no,no,yes,3.5
11MG,Mansarovar,CAFÉ ,Cafe,400,yes,no,yes,3.8
180 Degree - The Theme Hotel,Sanganer,"Casual Dining, Bar ","North Indian, Continental, Chinese","1,400",no,yes,yes,3.8
3 Bites,Sodala,Quick Bites ,"North Indian, Fast Food, Chinese",600,yes,no,yes,3.4
7 No. Rasoi,Jagatpura,Quick Bites ,"North Indian, Fast Food",400,no,no,yes,3.0
777 Non-Veg Takeaway,Mansarovar,Quick Bites ,"North Indian, Mughlai",400,no,no,yes,3.7
80N Restaurant,Vaishali Nagar,Quick Bites ,"North Indian, South Indian, Fast Food, Chinese, Street Food",400,yes,no,yes,3.2
90 Bata 3 The Desi Canteen,Mansarovar,Quick Bites ,"Street Food, Fast Food, North Indian, Beverages",300,yes,no,yes,3.8
999.pt Cafe - Restaurant,Pratap Nagar,Quick Bites ,"North Indian, Fast Food",300,no,no,yes,2.7
A2G All Together,Lal Kothi,"CAFÉ, Dessert Parlor ","Cafe, Desserts, North Indian, Chinese, Frozen Yogurt",600,yes,no,yes,4.0
Aale Ibrahim Hotel,Pink City,Quick Bites ,"North Indian, Mughlai",350,no,no,yes,3.8
Aao Sa Pavitra Bhojnalaya,Amer Road,Dhaba ,North Indian,300,yes,no,yes,3.0
Abdul Bari Old Take Away,MI Road,Quick Bites ,North Indian,600,no,no,yes,3.9
Abdul Bari Old Take Away,MI Road,Quick Bites ,North Indian,600,no,no,yes,3.7
About Vegan,Vaishali Nagar,Quick Bites ,"Healthy Food, Fast Food, North Indian, Street Food",300,yes,no,yes,3.3
Adda,Sodala,Quick Bites ,"South Indian, Chinese, North Indian",200,yes,no,yes,3.8
Aditya Bhojnalaya,Chitrakoot,Quick Bites ,"North Indian, Rajasthani",300,yes,no,yes,3.3
Affetto Cafe,Gopalbari,Casual Dining ,"North Indian, Chinese, Fast Food, Beverages",650,no,no,yes,2.8
